onset,terminus,vertex.id,onset.censored,terminus.censored,duration
10,80,1,FALSE,FALSE,70
10,80,2,FALSE,FALSE,70
20,80,3,FALSE,FALSE,60
20,80,4,FALSE,FALSE,60
30,80,5,FALSE,FALSE,50
40,80,6,FALSE,FALSE,40
50,80,7,FALSE,FALSE,30
50,80,8,FALSE,FALSE,30
50,80,9,FALSE,FALSE,30
50,80,10,FALSE,FALSE,30
50,80,11,FALSE,FALSE,30
50,80,12,FALSE,FALSE,30
60,80,13,FALSE,FALSE,20
50,80,14,FALSE,FALSE,30
50,80,15,FALSE,FALSE,30
50,80,16,FALSE,FALSE,30
50,80,17,FALSE,FALSE,30
50,80,18,FALSE,FALSE,30
70,80,19,FALSE,FALSE,10
70,80,20,FALSE,FALSE,10
70,80,21,FALSE,FALSE,10
70,80,22,FALSE,FALSE,10
70,80,23,FALSE,FALSE,10
70,80,24,FALSE,FALSE,10
70,80,25,FALSE,FALSE,10
70,80,26,FALSE,FALSE,10
70,80,27,FALSE,FALSE,10
70,80,28,FALSE,FALSE,10
70,80,29,FALSE,FALSE,10
70,80,30,FALSE,FALSE,10
70,80,31,FALSE,FALSE,10
70,80,32,FALSE,FALSE,10
70,80,33,FALSE,FALSE,10
